File;Incident ID;Incident Date;State;City Or County;Address;Victims Killed;Victims Injured;Total Victims;Suspects Killed;Suspects Injured;Suspects Arrested;Business/Location Name;FIPS;County;LZIP;Population;Crime Rate;Unemployment;PopulrVoteParty;Cost of Living;Median Income;Diversity Rank (Race);Diversity Rank (Gender)
MS;1210742;2018-09-15T00:00:00Z;Wisconsin;Milwaukee;820 S 21st St;0;4;4;0;0;0;;55079;Milwaukee County;53227.0;918661.0;50/1000;3.82%;D;$72420.60;$66745.75;3084.0;3091.0
MS;1209006;2018-09-12T00:00:00Z;California;Bakersfield;660 Manwell Blvd;5;0;5;1;0;0;;6029;Kern County;93501.0;916108.0;42/1000;7.45%;D;$70064.07;$61059.18;3107.0;3083.0
MS;1208397;2018-09-11T00:00:00Z;Illinois;Chicago;10600 block of S Bensley Avenue;0;4;4;0;0;0;;17031;Cook County;60103.0;5109292.0;33/1000;5.30%;D;$81548.25;$82910.04;3133.0;3133.0
MS;1206828;2018-09-10T00:00:00Z;Tennessee;Memphis;140 Lt George W Lee Ave;0;5;5;0;0;1;;47157;Shelby County;38106.0;916371.0;61/1000;4.73%;R;$65028.53;$67305.37;3104.0;3095.0
MS;1206409;2018-09-09T00:00:00Z;Illinois;Elgin;550 S McLean Blvd;1;3;4;0;0;0;;17089;Kane County;60175.0;514182.0;15/1000;4.72%;D;$88141.28;$97553.61;3080.0;3035.0
MS;1206375;2018-09-09T00:00:00Z;Alabama;Auburn;224 W Magnolia St;1;4;5;0;0;2;;1081;Lee County;36865.0;180773.0;28/1000;2.41%;R;$75171.82;$74677.98;2721.0;2609.0
MS;1206476;2018-09-09T00:00:00Z;Florida;Jacksonville;;0;4;4;0;0;0;;12031;Duval County;32233.0;1016536.0;39/1000;3.12%;R;$70196.46;$69769.75;3056.0;3065.0
MS;1206050;2018-09-07T00:00:00Z;Minnesota;Minneapolis;2024 N Washington Ave;1;3;4;0;0;1;;27053;Hennepin County;55369.0;1260121.0;32/1000;2.54%;D;$92792.94;$108344.52;3116.0;3119.0
MS;1204538;2018-09-06T00:00:00Z;Ohio;Cincinnati;511 Walnut St;3;2;5;1;0;0;;39061;Hamilton County;45215.0;825037.0;39/1000;3.73%;R;$68470.83;$79901.45;3068.0;3061.0
MS;1204486;2018-09-04T00:00:00Z;Georgia;Albany;1200 block of Gillespie Ave;0;4;4;0;0;1;;13095;Dougherty County;31705.0;82966.0;62/1000;4.51%;D;$63297.11;$48077.02;2530.0;2188.0
MS;1202134;2018-09-02T00:00:00Z;Texas;San Antonio;600 block of Morningview St;0;4;4;0;0;0;;48029;Bexar County;78109.0;2059530.0;50/1000;3.84%;R;$66248.04;$69862.16;3123.0;3122.0
MS;1202274;2018-09-02T00:00:00Z;New Jersey;Paterson;43 12th Ave;2;2;4;0;0;0;;34031;Passaic County;7456.0;513936.0;20/1000;4.80%;D;$91901.81;$84069.33;3035.0;3031.0
MS;1202318;2018-09-02T00:00:00Z;Alabama;Birmingham;500 23rd St S;0;6;6;0;1;0;;1073;Jefferson County;35204.0;665409.0;47/1000;2.65%;R;$78158.24;$72559.63;3089.0;3042.0
MS;1201885;2018-09-02T00:00:00Z;Arkansas;Fort Smith;801 Garrison Ave;0;4;4;0;0;0;;5131;Sebastian County;72913.0;129059.0;51/1000;3.20%;R;$64133.75;$56582.22;2200.0;2646.0
MS;1202332;2018-09-02T00:00:00Z;California;San Bernardino;1277 East Lynwood Drive;0;8;8;0;0;0;;6071;San Bernardino County;92407.0;2193656.0;30/1000;4.27%;D;$79731.27;$72070.87;3126.0;3123.0
MS;1202437;2018-09-02T00:00:00Z;New Jersey;Trenton;Stuyvesant Ave and Bryn Mawr Ave;0;4;4;0;0;0;;34021;Mercer County;8625.0;380688.0;21/1000;3.29%;D;$89373.45;$108134.02;2931.0;2978.0
MS;1201973;2018-09-01T00:00:00Z;Florida;Fort Lauderdale (Lauderhill);5225 NW 24th Ct;1;3;4;0;0;0;;12011;Broward County;33063.0;1947026.0;34/1000;2.95%;R;$84998.59;$73116.17;3110.0;3107.0
MS;1201135;2018-09-01T00:00:00Z;Ohio;Cleveland;3232 Lakeside Ave East;1;7;8;0;0;0;;39035;Cuyahoga County;44141.0;1236041.0;33/1000;5.14%;R;$66327.70;$70358.12;3117.0;3106.0
MS;1200904;2018-08-31T00:00:00Z;Colorado;Aurora;1900 block of Peoria St;2;2;4;0;1;1;;8001;Adams County;80029.0;527575.0;35/1000;3.48%;D;$93063.48;$82814.55;3050.0;3015.0
MS;1197278;2018-08-27T00:00:00Z;Arkansas;Pine Bluff;2600 block of W 34th Ave;1;3;4;0;0;0;;5069;Jefferson County;71601.0;64246.0;66/1000;5.49%;R;$63783.15;$53527.41;2548.0;2399.0
MS;1196028;2018-08-26T00:00:00Z;Florida;Jacksonville;2 Independent Dr;2;9;11;1;0;0;;12031;Duval County;32233.0;1016536.0;39/1000;3.12%;R;$70196.46;$69769.75;3056.0;3065.0
MS;1195537;2018-08-25T00:00:00Z;Virginia;Richmond;4 N 18th St;0;5;5;0;0;0;;51760;Richmond city;23219.0;229395.0;44/1000;3.52%;D;$76501.36;$66234.39;2850.0;2864.0
MS;1196051;2018-08-25T00:00:00Z;Tennessee;Nashville;1564 9th Ave N;1;4;5;0;0;0;;47037;Davidson County;37210.0;708144.0;47/1000;2.89%;R;$76713.77;$74837.13;3044.0;3026.0
MS;1194315;2018-08-23T00:00:00Z;Pennsylvania;Philadelphia;5800 block of Oakland St;0;4;4;0;0;0;;42101;Philadelphia County;19140.0;1567258.0;42/1000;5.71%;D;$78477.67;$56599.68;3098.0;3100.0
MS;1194598;2018-08-23T00:00:00Z;Maryland;Baltimore;1700 block of Homestead St;0;4;4;0;0;0;;24510;Baltimore city;21230.0;569931.0;73/1000;4.46%;D;$70955.47;$64801.96;3055.0;3025.0
