File,Incident ID,Incident Date,Day,Month,Year,State,City Or County,Address,Victims Killed,Victims Injured,Total Victims,Suspects Killed,Suspects Injured,Suspects Arrested,Business/Location Name,County
MS,1190035,2018-08-18T00:00:00Z,18,08,2018,New York,Bronx,925 Allerton Ave,0,4,4,0,0,1,,Bronx County
MS,1189717,2018-08-17T00:00:00Z,17,08,2018,Illinois,Chicago,1600 block of W 65th St,0,7,7,0,0,0,,Cook County
MS,1188597,2018-08-15T00:00:00Z,15,08,2018,South Carolina,Greenwood,104 Mimosa Ct,0,5,5,0,0,0,,Greenwood County
MS,1186888,2018-08-14T00:00:00Z,14,08,2018,Pennsylvania,Wyncote,1000 S Easton Rd,0,5,5,0,0,1,,Montgomery County
MS,1185622,2018-08-12T00:00:00Z,12,08,2018,Pennsylvania,Pittsburgh,5600 block of Broad St,0,4,4,0,0,1,,Allegheny County
MS,1185520,2018-08-12T00:00:00Z,12,08,2018,California,Clearlake,4786 Yarrington Ct,3,1,4,1,0,0,,Lake County
MS,1184607,2018-08-11T00:00:00Z,11,08,2018,Colorado,Thornton,4050 E 100th Ave,1,3,4,0,0,1,,Adams County
MS,1186061,2018-08-11T00:00:00Z,11,08,2018,California,San Francisco,Geneva St and Mission St,1,4,5,0,0,1,,San Francisco County
MS,1184992,2018-08-10T00:00:00Z,10,08,2018,Missouri,St Louis,1515 N 13th St,0,4,4,0,0,1,,St. Louis County
MS,1184206,2018-08-10T00:00:00Z,10,08,2018,Michigan,Detroit,6300 block of Vinewood St,0,4,4,0,0,1,,Wayne County
MS,1182893,2018-08-08T00:00:00Z,08,08,2018,New Jersey,Paterson,Mercer St and Franklin St,0,4,4,0,0,0,,Passaic County
MS,1182717,2018-08-08T00:00:00Z,08,08,2018,Pennsylvania,Philadelphia,North 12th Street and West Huntingdon Street,2,4,6,0,0,0,,Philadelphia County
MS,1179935,2018-08-05T00:00:00Z,05,08,2018,Illinois,Chicago,50 block of N Leclaire Ave,1,4,5,0,0,0,,Cook County
MS,1179619,2018-08-05T00:00:00Z,05,08,2018,Illinois,Chicago,1300 block of S Millard Ave,1,5,6,0,0,0,,Cook County
MS,1179607,2018-08-05T00:00:00Z,05,08,2018,Illinois,Chicago,1300 block of W 76th St,0,8,8,0,0,0,,Cook County
MS,1179677,2018-08-05T00:00:00Z,05,08,2018,Illinois,Chicago,900 block of S Karlov Ave,0,4,4,0,0,0,,Cook County
MS,1179644,2018-08-05T00:00:00Z,05,08,2018,Illinois,Chicago,1600 block of S Avers Ave,0,4,4,0,0,0,,Cook County
MS,1179810,2018-08-04T00:00:00Z,04,08,2018,Nevada,Las Vegas,3400 block of Coran Ln,0,6,6,0,0,0,,Clark County
MS,1180161,2018-08-04T00:00:00Z,04,08,2018,Missouri,Kansas City,E 18th St and Highland Ave,0,6,6,0,0,1,,Jackson County
MS,1179805,2018-08-04T00:00:00Z,04,08,2018,Illinois,Chicago,1600 block of N Leclaire Ave,1,3,4,0,0,0,,Cook County
MS,1179589,2018-08-04T00:00:00Z,04,08,2018,Wisconsin,Milwaukee,40th St and Vliet St,0,4,4,0,0,0,,Milwaukee County
MS,1176169,2018-07-31T00:00:00Z,31,07,2018,California,Gardena,1212 W 135th St,3,1,4,0,0,1,,Los Angeles County
MS,1177024,2018-07-30T00:00:00Z,30,07,2018,Georgia,Savannah,12328 Largo Dr,0,4,4,0,0,0,,Chatham County
MS,1175571,2018-07-30T00:00:00Z,30,07,2018,Illinois,Chicago,1200 block of S Avers Ave,0,4,4,0,0,0,,Cook County
MS,1174423,2018-07-29T00:00:00Z,29,07,2018,Pennsylvania,York,100 block of E Maple St,0,4,4,0,0,0,,York County
MS,1174960,2018-07-29T00:00:00Z,29,07,2018,Arizona,Phoenix,2501 E Van Buren St,1,4,5,0,0,0,,Maricopa County
MS,1174990,2018-07-29T00:00:00Z,29,07,2018,Michigan,Lansing,Spring and River Street,0,4,4,0,0,0,,Ingham County
MS,1174190,2018-07-28T00:00:00Z,28,07,2018,Louisiana,New Orleans,3400 S Claiborne Ave,3,7,10,0,0,1,,Orleans Parish
MS,1174527,2018-07-28T00:00:00Z,28,07,2018,California,Los Angeles,8801 S Vermont Ave,2,4,6,0,0,0,,Los Angeles County
MS,1173476,2018-07-27T00:00:00Z,27,07,2018,Texas,Robstown,603 East Ave J,4,0,4,1,0,0,,Nueces County
MS,1173637,2018-07-27T00:00:00Z,27,07,2018,Illinois,Chicago,1100 block of S Troy St,0,4,4,0,0,0,,Cook County
MS,1172224,2018-07-26T00:00:00Z,26,07,2018,Ohio,Cleveland,18416 St Clair Ave,1,6,7,0,0,2,,Cuyahoga County
MS,1173069,2018-07-26T00:00:00Z,26,07,2018,California,Oakland,73rd Ave and Bancroft Ave,2,2,4,0,0,0,,Alameda County
MS,1172403,2018-07-26T00:00:00Z,26,07,2018,Texas,Dallas,3019 South Blvd,0,6,6,0,0,0,,Dallas County
MS,1172333,2018-07-25T00:00:00Z,25,07,2018,Louisiana,New Orleans,7000 block of Bullard Ave,0,4,4,0,0,1,,Orleans Parish
MS,1170482,2018-07-23T00:00:00Z,23,07,2018,Illinois,Chicago,6400 block of S May St,0,5,5,0,0,0,,Cook County
MS,1168828,2018-07-21T00:00:00Z,21,07,2018,Maryland,Baltimore,1000 block of Dundalk Ave,0,4,4,0,0,0,,Baltimore City
MS,1169103,2018-07-21T00:00:00Z,21,07,2018,Illinois,Chicago,3100 block of W Fulton St,2,5,7,0,0,0,,Cook County
MS,1169656,2018-07-20T00:00:00Z,20,07,2018,Washington,Sunnyside,500 block of S 15th St,1,4,5,0,0,0,,Yakima County
MS,1167806,2018-07-20T00:00:00Z,20,07,2018,New Jersey,Elizabeth,323 Irvington Ave,0,4,4,0,0,0,,Union County
MS,1166302,2018-07-18T00:00:00Z,18,07,2018,Oklahoma,Oklahoma City,7201 Melrose Ln,0,4,4,0,0,4,,Oklahoma County
MS,1165214,2018-07-16T00:00:00Z,16,07,2018,Florida,Palm Beach Gardens (Riviera Beach),2100 block of W 28th St,2,4,6,0,0,0,,County not found
MS,1165299,2018-07-16T00:00:00Z,16,07,2018,Pennsylvania,Philadelphia,2100 block of N 4th St,1,4,5,0,0,0,,Philadelphia County
MS,1165183,2018-07-16T00:00:00Z,16,07,2018,District of Columbia,Washington,300 block of 53rd St NE,1,4,5,0,0,10,,District of Columbia
MS,1164167,2018-07-15T00:00:00Z,15,07,2018,Colorado,Denver,50th Ave and Grant St,0,4,4,0,0,0,,Denver County
MS,1164110,2018-07-15T00:00:00Z,15,07,2018,Tennessee,Chattanooga,1400 Cowart St,0,5,5,0,0,0,,Hamilton County
MS,1163947,2018-07-14T00:00:00Z,14,07,2018,Maryland,Fort Washington,9500 block of Fort Foote Rd,0,4,4,0,0,0,,Prince George's County
MS,1162785,2018-07-13T00:00:00Z,13,07,2018,Virginia,Richmond,1401 Roseneath Rd,1,3,4,0,0,0,,Richmond City
MS,1162687,2018-07-12T00:00:00Z,12,07,2018,Tennessee,Memphis,3678 Powers Rd,0,5,5,0,0,0,,Shelby County
MS,1162437,2018-07-11T00:00:00Z,11,07,2018,Texas,Houston,9550 Bissonnet St,0,4,4,0,0,0,,Harris County
MS,1161230,2018-07-11T00:00:00Z,11,07,2018,Florida,Reddick,16300 block of NW Gainesville Rd,0,4,4,0,0,0,,Marion County
MS,1159820,2018-07-09T00:00:00Z,09,07,2018,Florida,Orlando,Southland Blvd and Orange Blossom Trail,1,4,5,0,0,2,,Orange County
MS,1160253,2018-07-09T00:00:00Z,09,07,2018,Delaware,Wilmington,2709 Ferris Rd,4,0,4,1,0,0,,New Castle County
MS,1160418,2018-07-08T00:00:00Z,08,07,2018,Alabama,Brandon,565 US-80,0,5,5,0,1,0,,DeKalb County
